From_Date,From Time,Offense,Zip Code,DVFlag,Race,Sex,Firearm Used Flag  
41995,0.04,670,64127,U,B,M,N
41651,0.79,702,64106,U,B,F,N
41919,0.58,1198,64109,U,W,F,N
41977,0.52,401,64130,U,B,M,Y
41781,0.51,1546,64127,U,,,Y
41900,0.47,1401,64124,U,U,U,N
41878,0.43,501,64133,U,U,U,N
41749,0.01,401,64134,U,B,M,Y
41709,0.44,1849,64109,U,,,N
41791,0.39,2201,64106,U,B,M,N
41721,0.02,702,,U,U,F,N
41655,0.72,801,64106,U,W,M,N
41662,0.81,2601,64132,U,U,U,N
41961,0.91,210,,U,B,M,N
41855,0.92,831,64154,N,U,U,N
41649,0.85,801,63127,N,W,F,N
41861,0.12,302,,U,B,M,Y
41892,0.29,702,66106,U,U,U,N
41747,0.65,630,,U,B,F,N
41667,0.35,801,64134,N,W,M,N
41987,0.58,2402,,U,,,N
41873,0.58,1002,,U,B,M,N
41773,0.94,1050,,U,W,F,N
41787,0.95,2402,64133,U,,,N
41801,0.61,1401,64109,U,B,M,N
41895,0.71,630,,U,W,M,N
42000,0.59,1001,,N,B,F,N
,,2402,64108,U,W,F,N
42004,0.7,2201,64108,U,,,N
41788,0.79,201,64130,N,B,M,N
,,1120,,U,U,U,N
41827,0.62,2601,,Y,W,M,N
41838,0.09,302,,N,W,M,Y
41839,0.38,1188,64114,U,U,U,N
41848,0.56,302,,U,W,M,N
41759,0.26,501,64132,U,B,M,N
41812,0.16,901,64130,U,U,U,N
41743,0.73,2601,,U,W,M,N
41990,0.88,690,64151,U,W,M,N
41653,0.32,901,,U,B,F,N
41898,0.71,2201,,U,W,F,N
41917,0.56,2655,,U,B,M,N
41928,0.55,2655,64110,U,,,N
41818,0.71,630,,U,U,U,N
41927,0.76,2655,64129,U,,,N
41643,0.16,2601,,U,U,U,N
41842,0.09,2402,,U,,,N
41917,0.86,2655,,U,,,N
41914,0.56,2655,64128,U,,,N
41992,0.84,901,64127,U,U,U,N
41883,0.14,1001,,U,,,N
41865,0,1188,64131,U,U,U,N
41773,0.46,3077,64114,U,W,F,N
41874,0.69,901,64125,U,U,U,N
41974,0.43,2402,,U,,,N
41902,0.12,802,64110,Y,B,M,N
41986,0.35,2601,64118,N,W,F,N
41873,0.58,1002,,U,B,M,N
41761,0.75,801,,U,B,F,N
42000,0.59,1001,,U,,,N
41767,0.86,1401,,U,B,M,N
41958,0.83,501,,U,U,U,N
41737,0.79,690,,U,B,F,N
41885,0.02,802,,N,B,F,N
41794,0.84,230,,U,B,F,N
41933,0.74,2601,,U,,,N
41942,0.13,702,64126,U,W,M,N
41815,0.53,2601,64126,U,U,U,N
41752,0.69,901,64124,U,U,U,N
41931,0.53,1050,,U,B,M,N
41824,0.26,802,,U,B,M,N
41878,0.86,2655,,U,W,M,N
41922,0.08,1401,,U,W,F,N
41816,0.57,1849,,U,,,N
41786,0.95,501,,U,U,U,N
41951,0.57,630,,U,,,N
41734,0.87,2402,,U,,,N
41844,0.06,302,,U,U,M,Y
41926,0.92,802,,U,B,F,N
41810,0.09,901,64138,U,B,F,N
41749,0.06,2655,,U,,,N
41972,0.64,630,,U,W,M,N
41990,0.28,702,,U,U,U,N
41806,0.54,501,64131,U,W,F,N
41844,0.65,650,,U,,,N
41681,0.65,302,64105,U,W,M,Y
41885,0.83,702,64118,N,W,M,N
41877,0.39,690,,U,W,M,N
41643,0.16,2601,,U,B,F,N
41987,0.61,2402,,U,B,M,N
41983,0.32,702,64130,N,B,M,N
41793,0.77,2601,64633,U,U,U,N
41843,,101,,U,U,U,N
41694,0.36,702,64119,U,W,M,N
41782,0.36,1401,64130,U,,,N
41988,0.11,302,64111,U,B,M,Y
41939,0.6,2601,64106,U,,,N
41771,0.91,1849,64130,U,,,N
41929,0.73,1050,,U,,,N
41849,1,502,,U,,,N
41918,0,1188,64152,N,U,M,N
41884,0.64,1002,64145,U,,,N
41765,0.63,2601,64108,U,,,N
,,2655,,U,,,N
41848,0.04,302,64123,U,B,M,Y
41877,0.39,690,,U,,,N
41719,0.83,302,,U,B,M,Y
41721,0.96,3073,,N,W,M,N
41964,0.38,1401,,U,,,N
41687,0.07,2655,64127,U,W,M,N
41757,0,210,,U,W,M,N
41853,0.53,501,,U,W,F,N
41765,0.06,2601,64106,U,,,N
41951,0.74,802,,Y,B,F,N
41695,0.06,302,,N,W,M,Y
41650,0.46,1198,64131,U,B,F,N
41751,0.84,801,,U,W,M,N
41906,0,1002,64151,N,W,M,N
41844,0.06,302,,N,W,F,Y
41733,0.6,630,,N,W,F,N
41793,0.78,2601,,U,,,N
42000,0.5,2655,64128,U,,,N
42000,0.14,101,,U,B,M,Y
41799,0.55,2655,64133,U,,,N
41830,0.22,702,,U,B,M,N
41957,0.67,630,,U,,,N
41989,0.82,1120,64114,U,U,U,N
41647,0.64,630,,U,,,N
41677,0.93,702,64133,N,U,U,N
41673,0.58,2601,,U,,,N
41893,0.12,670,,U,W,M,N
41916,0.87,302,,U,W,M,Y
41873,0.1,2655,64108,U,,,N
41724,0.32,401,64152,N,W,F,N
41911,0.94,1401,,U,B,M,N
41833,0.71,501,,U,W,M,N
41900,0.76,201,64108,U,B,M,N
41816,0.75,801,,N,B,F,N
41887,0.17,1201,64131,U,U,U,N
41841,0.83,2100,,U,B,M,N
41928,0.2,801,,U,B,M,N
41835,0.58,690,64145,U,B,M,N
41691,0.78,630,,U,,,N
41749,0.42,630,,U,,,N
41886,0.21,630,64133,U,W,M,N
41816,0.88,301,,U,U,U,N
41947,0.49,2601,,U,,,N
41823,0.63,201,64111,U,W,F,N
41993,0,702,64113,U,W,M,N
41927,0.68,1201,,U,,,N
,,401,,U,B,M,N
